ID|CourseName|Instructor|Credit|Pre-requisite|Reference
VM523|Computational Fluid Dynamics||3|Vm320 Fluid Mechanics I|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=356
VR260|Introduction to Chinese Civilization||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=275
VE461|Embedded Control Systems||4|Ve 216 or Ve 373 or Graduate Standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=439
VE534|Optics and Photonics||3|Ve 434 Principles of Photonics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=310
VM524|Turbulence||3|Fluid mechanics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=357
VR262|Introduction to the Philosophy of Religion||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=276
VE470|Computer Architecture||4|Ve270 and Ve370, or Graduate Standing.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=440
VE535|Optical Information Processing||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=311
VM527|Multi-phase Flow||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=358
VR265|Culture，Technology and Silicon Valley||3|Academic Writing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=277
VE475|Introduction to Cryptography||4|Ve203 and Ve280|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=441
VE536|Classical Statistical Optics||3|Ve334 Principles of Optics, Ve434 Principles of Photonics, and Ve401 Probabilistic Methods in Engineering|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=312
VM528|Experimental Methods in Multi-phase Flow||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=359
VR275|The Western Mind in Revolution||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=278
VE477|Introduction to Algorithms||4|Ve281 or graduate standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=442
VE538|Optical Waves in Crystals||3|Ve434 Principles of Photonics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=313
VM530|Advanced Heat Transfer||3|Ve330 Electromagnetics II (NB: Course for graduate programs, but open to undergraduate students as well)|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=360
VR290|Home and Homeland in Asian American Literature||4||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=279
VE478|Logic Circuit Synthesis and Optimization||4|(Ve 203, Ve 270 and Senior Standing) or Graduate Standing.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=443
VE539|Lasers||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=314
VM531|Advanced Conduction and Radiation Heat Transfer||||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=361
VR291|The Otherworlds of Fantasy||3|Vy 100/Vy 200|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=280
VE482|Introduction to Operating Systems||4|Ve281 and Ve370 or Graduate Standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=444
VE540|Applied Quantum Mechanics I||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=315
VM532|Advanced Convection||3|Thermodynamics, Heat transfer, fluid mechanics|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=362
VE483|Compiler Construction||4|Ve 281 or Graduate Standing.|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=445
VE541|Applied Quantum Mechanics II||3|Ve540 Applied Quantum Mechanics I|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=316
VM535|Thermodynamics III||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=363
VE484|Data Mining||4|Background on a programming language|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=446
VE550|Information Theory||3||https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=317
VM540|Advanced Methods of Vibration Analysis||3|Vm440 Intermediate Dynamics and Vibration|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=364
VE487|Interactive Computer Graphics||4|Ve 281 or graduate standing|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=447
VE551|Mathematical Methods for Signal Processing||3|Ve501 Probability and Random Processes|https://www.ji.sjtu.edu.cn/academics/courses/courses-by-number/course-info/?id=318
